path_num,城市,起点地址,终点地址,
0001,杭州市,红石中央大厦,元通大厦(延安路),
0002,杭州市,丁桥家苑北区,锦上庭,
0003,杭州市,江虹路与秋溢路交叉口,龙湖・春江天玺二期,
0004,杭州市,临丁路笕丁路口(公交站),彭埠(地铁站),
0005,杭州市,交通银行(秋涛路支行),孔雀苑,
0001,苏州市,振华园,川号子烧鸡公(红峰路店),
0002,苏州市,万科.魅力花园(西门),阳澄湖国际科创园(西2门),
0003,苏州市,康乐宠物医院(平河路),娄门农贸市场,
0004,苏州市,良记平价便民超市附近,苏州站自助售票处,
0005,苏州市,平川路与江月路交叉口,旭泰足球公园,
0001,宁波市,东湖花园(南门)附近,万科都心里,
0002,宁波市,丽园南路地铁站B口,宁波美莱整形美容,
0003,宁波市,锦江世纪商务汇,甬上桥头私房牛骨头(东裕店),
0004,宁波市,浙江万里学院(钱湖校区),宁波国际会议展览中心,
0005,宁波市,百丽・水会,安基名府A区,
0001,上海市,裕德小区(裕德路),爱乐大厦,
0002,上海市,雍景园(西门),久隆设计,
0003,上海市,现代星洲城,中国建设银行(上海第二支行),
0004,上海市,中共塘桥街道工作委员会,新建大厦,
0005,上海市,馨佳园社区四街坊,国美电器(彭浦店),
0001,郑州市,嵩山北路与西站东街交叉口,欧雅商务标榜学校,
0002,郑州市,豫武康居花园,宁碧园,
0003,郑州市,天泰艺墅世家,星巴克(中原万达店),
0004,郑州市,宏达街与金杯路交叉口,德亿时代城(西门),
0005,郑州市,绿城・郑州百合公寓云霞苑(西南门),郑州信大捷安信息技术股份有限公司,
